Date,AAPL,MSFT,NVDA,GOOGL,AMZN,^GSPC,^VIX
2020-02-17,78.75527954101562,176.60560607910156,7.213340759277344,75.48380279541016,106.74349975585938,3380.159912109375,13.680000305175781
2020-02-18,77.31321716308594,178.39694213867188,7.382105827331543,75.51908874511719,107.78350067138672,3370.2900390625,14.829999923706055
2020-02-19,78.43293762207031,178.93194580078125,7.833389759063721,75.7889633178711,108.51100158691406,3386.14990234375,14.380000114440918
2020-02-20,77.6282958984375,176.19943237304688,7.684041500091553,75.3973159790039,107.65499877929688,3373.22998046875,15.5600004196167
2020-02-21,75.87116241455078,170.6292724609375,7.319876194000244,73.73080444335938,104.79850006103516,3337.75,17.079999923706055
2020-02-22,75.87116241455078,170.6292724609375,7.319876194000244,73.73080444335938,104.79850006103516,3337.75,17.079999923706055
2020-02-23,75.87116241455078,170.6292724609375,7.319876194000244,73.73080444335938,104.79850006103516,3337.75,17.079999923706055
2020-02-24,72.26725769042969,163.27255249023438,6.802380084991455,70.56976318359375,100.4645004272461,3225.889892578125,25.030000686645508
2020-02-25,69.81941223144531,160.57826232910156,6.5228471755981445,68.90276336669922,98.63700103759766,3128.2099609375,27.850000381469727
2020-02-26,70.92701721191406,162.58465576171875,6.662240028381348,69.10902404785156,98.97949981689453,3116.389892578125,27.559999465942383
2020-02-27,66.29064178466797,151.1290740966797,6.2913818359375,65.35553741455078,94.21499633789062,2978.760009765625,39.15999984741211
2020-02-28,66.25186157226562,154.78836059570312,6.726497173309326,66.56330108642578,94.1875,2954.219970703125,40.11000061035156
2020-02-29,66.25186157226562,154.78836059570312,6.726497173309326,66.56330108642578,94.1875,2954.219970703125,40.11000061035156
2020-03-01,66.25186157226562,154.78836059570312,6.726497173309326,66.56330108642578,94.1875,2954.219970703125,40.11000061035156
2020-03-02,72.41992950439453,165.0878143310547,6.884904861450195,68.90276336669922,97.69750213623047,3090.22998046875,33.41999816894531
2020-03-03,70.11992645263672,157.17689514160156,6.622389316558838,66.48725128173828,95.44950103759766,3003.3701171875,36.81999969482422
2020-03-04,73.37242126464844,162.9476776123047,7.086148262023926,68.66817474365234,98.79149627685547,3130.1201171875,31.989999771118164
2020-03-05,70.99242401123047,158.85845947265625,6.806698322296143,65.34609985351562,96.20149993896484,3023.93994140625,39.619998931884766
2020-03-06,70.0496597290039,154.3679962158203,6.626125335693359,64.40077209472656,95.05449676513672,2972.3701171875,41.939998626708984
2020-03-07,70.0496597290039,154.3679962158203,6.626125335693359,64.40077209472656,95.05449676513672,2972.3701171875,41.939998626708984
2020-03-08,70.0496597290039,154.3679962158203,6.626125335693359,64.40077209472656,95.05449676513672,2972.3701171875,41.939998626708984
2020-03-09,64.50927734375,143.90609741210938,6.113051414489746,60.42709732055664,90.03050231933594,2746.56005859375,54.459999084472656
2020-03-10,69.15532684326172,153.74693298339844,6.502589702606201,63.37839889526367,94.59100341796875,2882.22998046875,47.29999923706055
2020-03-11,66.75355529785156,146.7819366455078,6.138706207275391,60.184051513671875,91.04299926757812,2741.3798828125,53.900001525878906
2020-03-12,60.16132736206055,132.86135864257812,5.38752555847168,55.24616622924805,83.83049774169922,2480.639892578125,75.47000122070312
2020-03-13,67.36914825439453,151.75009155273438,5.998481750488281,60.3515510559082,89.25,2711.02001953125,57.83000183105469
2020-03-14,67.36914825439453,151.75009155273438,5.998481750488281,60.3515510559082,89.25,2711.02001953125,57.83000183105469
2020-03-15,67.36914825439453,151.75009155273438,5.998481750488281,60.3515510559082,89.25,2711.02001953125,57.83000183105469
2020-03-16,58.702301025390625,129.38363647460938,4.891636371612549,53.330162048339844,84.4574966430664,2386.1298828125,82.69000244140625
2020-03-17,61.283451080322266,140.03660583496094,5.411434650421143,55.569732666015625,90.39199829101562,2529.18994140625,75.91000366210938
2020-03-18,59.783233642578125,134.1416015625,5.051535606384277,54.2342414855957,91.5,2398.10009765625,76.44999694824219
2020-03-19,59.32517623901367,136.34866333007812,5.304337501525879,55.252140045166016,94.04650115966797,2409.389892578125,72.0
2020-03-20,55.55888366699219,131.22756958007812,5.124513149261475,53.09209060668945,92.30449676513672,2304.919921875,66.04000091552734
2020-03-21,55.55888366699219,131.22756958007812,5.124513149261475,53.09209060668945,92.30449676513672,2304.919921875,66.04000091552734
2020-03-22,55.55888366699219,131.22756958007812,5.124513149261475,53.09209060668945,92.30449676513672,2304.919921875,66.04000091552734
2020-03-23,54.37858200073242,129.91864013671875,5.297363758087158,52.39228439331055,95.1415023803711,2237.39990234375,61.59000015258789
2020-03-24,59.834136962890625,141.72772216796875,6.206201553344727,56.163665771484375,97.00499725341797,2447.330078125,61.66999816894531
2020-03-25,59.504520416259766,140.37103271484375,6.11753511428833,54.752628326416016,94.29199981689453,2475.56005859375,63.95000076293945
2020-03-26,62.635833740234375,149.1513671875,6.406949043273926,57.79935836791992,97.77449798583984,2630.070068359375,61.0
2020-03-27,60.04257583618164,143.02708435058594,6.294620513916016,55.18205642700195,95.00499725341797,2541.469970703125,65.54000091552734
2020-03-28,60.04257583618164,143.02708435058594,6.294620513916016,55.18205642700195,95.00499725341797,2541.469970703125,65.54000091552734
2020-03-29,60.04257583618164,143.02708435058594,6.294620513916016,55.18205642700195,95.00499725341797,2541.469970703125,65.54000091552734
2020-03-30,61.75605773925781,153.08767700195312,6.614917755126953,56.97380447387695,98.19750213623047,2626.64990234375,57.08000183105469
2020-03-31,61.630027770996094,150.68002319335938,6.565353870391846,57.75114440917969,97.48600006103516,2584.590087890625,53.540000915527344
2020-04-01,58.387237548828125,145.32962036132812,6.054022312164307,54.776485443115234,95.38500213623047,2470.5,57.060001373291016
2020-04-02,59.36152267456055,148.33924865722656,6.3628644943237305,55.51853942871094,95.94149780273438,2526.89990234375,50.90999984741211
2020-04-03,58.50843048095703,146.9729766845703,6.07494592666626,54.309288024902344,95.32949829101562,2488.64990234375,46.79999923706055
2020-04-04,58.50843048095703,146.9729766845703,6.07494592666626,54.309288024902344,95.32949829101562,2488.64990234375,46.79999923706055
2020-04-05,58.50843048095703,146.9729766845703,6.07494592666626,54.309288024902344,95.32949829101562,2488.64990234375,46.79999923706055
2020-04-06,63.612548828125,157.90306091308594,6.684905052185059,58.806819915771484,99.87950134277344,2663.679931640625,45.2400016784668
2020-04-07,62.875770568847656,156.2023468017578,6.451530933380127,58.7755012512207,100.58000183105469,2659.409912109375,46.70000076293945
2020-04-08,64.48503112792969,157.769287109375,6.648789405822754,59.99021530151367,102.1500015258789,2749.97998046875,43.349998474121094
